# Construct											
#OTU ID	W1	F1	F2	W2	taxonomy						
Otu4056	0	1	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu4057	4	0	0	1	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu4054	2	9	2	4	Bacteria						
Otu4055	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu4052	0	1	1	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu4053	0	0	0	1	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	
Otu4050	0	0	2	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Oceanospirillales_incertae_sedis	 Salicola	
Otu4051	4	4	6	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae		
Otu4058	0	4	1	0	Bacteria						
Otu4059	0	1	1	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu4588	0	0	0	0	Bacteria	 Verrucomicrobia	 Opitutae	 Opitutales	 Opitutaceae	 Opitutus	 Opitutus_terrae
Otu4589	4	1	2	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu4580	2	0	0	0	Bacteria	 Chloroflexi	 Caldilineae	 Caldilineales	 Caldilineaceae	 Litorilinea	 Litorilinea_aerophila
Otu4581	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales			
Otu4582	0	0	0	0	Bacteria	 Proteobacteria					
Otu4583	1	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae	 Taibaiella	 Taibaiella_koreensis
Otu4584	0	0	0	0	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae		
Otu4585	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	
Otu4586	1	1	1	0	Bacteria	 Verrucomicrobia					
Otu4587	0	0	0	0	Bacteria						
Otu5183	0	0	0	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu5182	0	0	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Thermosporotrichaceae	 Thermosporothrix	 Thermosporothrix_hazakensis
Otu5181	2	3	1	2	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Myxococcaceae	 Aggregicoccus	 Aggregicoccus_edonensis
Otu5180	1	0	0	1	Bacteria	 Chloroflexi					
Otu5187	0	0	0	0	Bacteria						
Otu5186	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Aquicella	
Otu5185	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales			
Otu5184	0	0	0	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Aquisphaera	 Aquisphaera_giovannonii
Otu6560	0	0	0	0	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	 Chthoniobacter_flavus
Otu6561	0	0	0	0	Bacteria						
Otu5189	0	0	0	0	Bacteria						
Otu5188	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Thermoactinomycetaceae		
Otu6564	0	2	0	0	Bacteria						
Otu6565	0	0	0	0	Bacteria						
Otu6566	2	0	1	1	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	 Chthoniobacter_flavus
Otu6567	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae_2	 Natronincola	
Otu4632	0	0	0	0	Bacteria						
Otu4633	10	0	0	4	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	
Otu4630	2	3	4	2	Bacteria						
Otu4631	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu4636	0	0	0	1	Bacteria	 Chloroflexi					
Otu4637	2	0	0	0	Bacteria						
Otu4634	1	0	0	0	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 Tepidisphaeraceae	 Tepidisphaera	 Tepidisphaera_mucosa
Otu4635	1	0	0	4	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 Ktedonobacter	 Ktedonobacter_racemifer
Otu4638	0	0	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria				
Otu4639	0	13	25	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	
Otu7690	0	0	0	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu318	3	0	1	5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae		
Otu319	2	38	46	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Microvirga	 Microvirga_zambiensis
Otu5509	0	0	0	0	Bacteria	 Firmicutes	 Clostridia				
Otu310	5	42	43	6	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu311	22	9	8	20	Bacteria	 Acidobacteria	 Acidobacteria_Gp1	 Unclassified	 Unclassified	 Gp1	
Otu312	12	2	3	1	Bacteria						
Otu313	0	9	10	0	Bacteria						
Otu314	1	6	2	0	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales			
Otu315	21	26	24	20	Bacteria	 Acidobacteria	 Acidobacteria_Gp7	 Unclassified	 Unclassified	 Gp7	
Otu316	0	54	29	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu317	126	86	87	83	Bacteria	 Acidobacteria	 Acidobacteria_Gp5	 Unclassified	 Unclassified	 Gp5	
Otu5507	1	0	0	2	Bacteria	 Acidobacteria	 Acidobacteria_Gp4	 Unclassified	 Unclassified	 Gp4	 uncultivated_soil
Otu5506	0	0	3	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp4	 Unclassified	 Unclassified	 Gp4	
Otu1037	0	21	12	0	Bacteria						
Otu1036	7	30	38	8	Bacteria	 Actinobacteria	 Actinobacteria	 Gaiellales	 Gaiellaceae	 Gaiella	 Gaiella_occulta
Otu1035	0	2	3	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales			
Otu1034	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	
Otu1033	4	7	5	1	Bacteria	 Acidobacteria	 Acidobacteria_Gp7	 Unclassified	 Unclassified	 Gp7	
Otu1032	16	0	1	16	Bacteria						
Otu1031	2	3	1	1	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Chloroflexaceae	 Roseiflexus	 Roseiflexus_castenholzii
Otu1030	6	0	1	3	Bacteria	 Proteobacteria	 Betaproteobacteria				
Otu8196	0	0	0	0	Bacteria	 Proteobacteria					
Otu1039	0	0	1	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu1038	0	1	0	0	Bacteria						
Otu8195	0	0	0	0	Bacteria						
Otu7805	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Tissierella	
Otu5868	0	0	0	0	Bacteria						
Otu5869	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Symbiobacterium	
Otu5864	0	0	0	0	Bacteria						
Otu5865	0	0	0	0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Nitrosomonadaceae	 Nitrosospira	
Otu5866	0	0	0	0	Bacteria						
Otu5867	10	8	6	8	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Solirubrobacteraceae	 Solirubrobacter	
Otu5860	0	1	0	0	Bacteria						
Otu5861	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Symbiobacterium	 Symbiobacterium_terraclitae
Otu5862	0	0	0	0	Bacteria						
Otu5863	2	0	0	0	Bacteria						
Otu6988	0	0	0	0	Bacteria						
Otu6989	0	0	0	0	Bacteria	 Firmicutes					
Otu8194	0	0	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 Ktedonobacter	 Ktedonobacter_racemifer
Otu6982	0	0	2	0	Bacteria						
Otu6983	0	0	0	0	Bacteria						
Otu6980	0	0	0	0	Bacteria						
Otu6981	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales			
Otu6986	0	0	0	0	Bacteria						
Otu6987	1	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Bdellovibrionales	 Bdellovibrionaceae	 Vampirovibrio	 Vampirovibrio_chlorellavorus
Otu6984	0	0	0	0	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	
Otu6985	0	0	0	0	Bacteria						
Otu6825	0	0	0	0	Bacteria						
Otu6824	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu6827	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu6826	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp15	 Unclassified	 Unclassified	 Gp15	
Otu6821	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu6396	2	0	0	2	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu6568	1	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu6823	0	1	1	0	Bacteria						
Otu6569	0	2	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales			
Otu6822	1	1	1	2	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu174	19	19	27	12	Bacteria	 Chloroflexi					
